Lat;Long
339.391;67.71
411.533;201.683
280.339;165.963
425.063;15.218
-112.027;178.739
170.608;-617.964
-384.161;-636.167
400.691;450.382
-252.744;133.775
475.162;145.501
401.431;475.769
250.343;-773.963
260.667;505.577
23.685;903.563
131.939;-595.432
537.098;279.534
505.039;446.994
171.899;-884.976
930.769;231.583
275.142;904.336
-162.902;-635.887
439.159;176.791
-14.235;-519.253
453.528;114.728
427.339;254.858
122.383;-156.159
165.388;-230.418
125.657;104.991
736.972;123.547
561.304;-106.347
661.111;209.394
154.542;187.322
-356.751;-71.543
358.617;104.195
457.087;-742.973
-0.228021;158.277
-403.833;217.587
974.892;-837.534
753.999;-554.708
45.1;15.2
408.643;-739.615
215.218;-777.812
351.264;334.299
498.175;15.473
562.639;950.178
118.251;425.903
15.415;-61.371
187.357;-701.627
-183.124;-781.834
268.206;308.025
137.942;-888.965
16.508;102.679
151.794;397.823
585.953;250.136
-265.225;314.659
9.145;404.897
-177.134;178.065
619.241;257.482
462.276;221.375
-0.803689;116.094
134.432;-153.101
321.656;-829.001
511.657;104.515
794.653;-102.319
121.165;-61.679
390.742;218.243
157.835;-902.308
994.559;-969.665
118.037;-151.804
486.042;-589.302
189.712;-722.852
407.509;-73.98
15.2;-862.419
471.625;195.033
649.631;-190.208
205.937;789.629
-0.789275;113.921
324.279;53.688
332.232;436.793
531.424;-769.205
310.461;348.516
418.719;125.674
181.096;-772.975
362.048;138.253
372.241;-957.406
480.196;669.237
-0.023559;379.062
359.078;127.767
293.117;474.818
412.044;747.661
568.796;246.032
338.547;358.623
642.805;-94.295
263.351;172.283
47.166;955.537
551.694;238.813
498.153;612.958
-187.669;468.691
421.048;101.976
320.278;732.207
175.707;-399.617
359.375;143.754
210.079;-109.408
-203.484;575.522
236.345;-102.553
474.116;283.699
437.384;742.462
468.625;103.847
427.087;193.744
317.917;-709.262
-186.657;355.296
-229.576;184.904
283.949;84.124
521.326;529.127
-409.006;174.886
128.654;-852.072
176.078;808.167
9.082;867.528
416.086;217.453
60.472;846.895
214.735;559.754
303.753;693.451
853.798;-807.821
-631.499;143.956
-234.425;-584.438
-918.997;-750.152
128.797;121.774
519.194;191.451
393.999;-822.445
253.548;511.839
459.432;249.668
61.524;105.319
-194.028;298.739
173.578;-62.783
139.094;-609.789
129.843;-612.872
439.424;124.578
238.859;450.792
144.974;-144.524
440.165;210.059
-467.957;55.492
135.208;103.82
48.669;19.699
461.512;149.955
515.215;461.996
-305.595;229.375
404.637;-374.922
787.305;807.718
128.628;302.176
391.931;-560.278
601.282;186.435
468.182;822.751
348.021;389.968
236.978;120.961
-636.903;348.888
15.87;100.993
-887.422;125.728
364.198;-987.648
106.918;-612.225
338.869;95.375
389.637;352.433
137.333;322.903
483.794;311.656
234.241;538.478
553.781;-343.597
-325.228;-557.658
370.902;-957.129
413.775;645.853
642.375;-665.897
140.583;108.277
-131.339;278.493
-190.154;291.549
319.466;353.027
198.563;102.495
426.026;20.903
219.162;95.956
;
-223.285;246.849
-337.306;299.189
846.055;-117.799
121.784;-682.385
-132.543;343.015
687.699;31.307
242.155;-128.858
0.18636;661.308
155.527;485.164
-116.455;433.333
38.861;712.761
-29.61;282.336
